,Year,Energy Source,Values
64,2012,"Hydropower (TWh, substituted energy)",9985.884765625
65,2013,"Hydropower (TWh, substituted energy)",10324.787109375
66,2014,"Hydropower (TWh, substituted energy)",10535.7412109375
67,2015,"Hydropower (TWh, substituted energy)",10444.337890625
68,2016,"Hydropower (TWh, substituted energy)",10741.4853515625
69,2017,"Hydropower (TWh, substituted energy)",10831.4052734375
70,2018,"Hydropower (TWh, substituted energy)",11067.517578125
71,2019,"Hydropower (TWh, substituted energy)",11153.7919921875
72,2020,"Hydropower (TWh, substituted energy)",11413.8271484375
73,2021,"Hydropower (TWh, substituted energy)",11183.2255859375
0,1800,"Nuclear (TWh, substituted energy)",0.0
1,1810,"Nuclear (TWh, substituted energy)",0.0
2,1820,"Nuclear (TWh, substituted energy)",0.0
3,1830,"Nuclear (TWh, substituted energy)",0.0
4,1840,"Nuclear (TWh, substituted energy)",0.0
5,1850,"Nuclear (TWh, substituted energy)",0.0
6,1860,"Nuclear (TWh, substituted energy)",0.0
7,1870,"Nuclear (TWh, substituted energy)",0.0
8,1880,"Nuclear (TWh, substituted energy)",0.0
9,1890,"Nuclear (TWh, substituted energy)",0.0
10,1900,"Nuclear (TWh, substituted energy)",0.0
11,1910,"Nuclear (TWh, substituted energy)",0.0
12,1920,"Nuclear (TWh, substituted energy)",0.0
13,1930,"Nuclear (TWh, substituted energy)",0.0
14,1940,"Nuclear (TWh, substituted energy)",0.0
15,1950,"Nuclear (TWh, substituted energy)",0.0
16,1960,"Nuclear (TWh, substituted energy)",0.0
17,1965,"Nuclear (TWh, substituted energy)",72.46934509277344
18,1966,"Nuclear (TWh, substituted energy)",97.70497131347656
19,1967,"Nuclear (TWh, substituted energy)",116.3551788330078
20,1968,"Nuclear (TWh, substituted energy)",147.87188720703125
21,1969,"Nuclear (TWh, substituted energy)",175.31134033203125
22,1970,"Nuclear (TWh, substituted energy)",223.8080139160156
23,1971,"Nuclear (TWh, substituted energy)",311.2872314453125
24,1972,"Nuclear (TWh, substituted energy)",431.79925537109375
25,1973,"Nuclear (TWh, substituted energy)",578.57373046875
26,1974,"Nuclear (TWh, substituted energy)",756.4817504882812
27,1975,"Nuclear (TWh, substituted energy)",1049.44970703125
28,1976,"Nuclear (TWh, substituted energy)",1227.7115478515625
29,1977,"Nuclear (TWh, substituted energy)",1528.137451171875
30,1978,"Nuclear (TWh, substituted energy)",1775.700927734375
31,1979,"Nuclear (TWh, substituted energy)",1846.8245849609373
32,1980,"Nuclear (TWh, substituted energy)",2020.0955810546875
33,1981,"Nuclear (TWh, substituted energy)",2385.642822265625
34,1982,"Nuclear (TWh, substituted energy)",2588.3173828125
35,1983,"Nuclear (TWh, substituted energy)",2933.458984375
36,1984,"Nuclear (TWh, substituted energy)",3559.856689453125
37,1985,"Nuclear (TWh, substituted energy)",4224.83740234375
38,1986,"Nuclear (TWh, substituted energy)",4525.08642578125
39,1987,"Nuclear (TWh, substituted energy)",4922.3310546875
40,1988,"Nuclear (TWh, substituted energy)",5366.4482421875
41,1989,"Nuclear (TWh, substituted energy)",5518.99609375
42,1990,"Nuclear (TWh, substituted energy)",5676.3408203125
43,1991,"Nuclear (TWh, substituted energy)",5947.9267578125
44,1992,"Nuclear (TWh, substituted energy)",5993.08447265625
45,1993,"Nuclear (TWh, substituted energy)",6199.47607421875
46,1994,"Nuclear (TWh, substituted energy)",6315.8662109375
47,1995,"Nuclear (TWh, substituted energy)",6589.8330078125
48,1996,"Nuclear (TWh, substituted energy)",6829.33349609375
49,1997,"Nuclear (TWh, substituted energy)",6782.4453125
50,1998,"Nuclear (TWh, substituted energy)",6899.19580078125
51,1999,"Nuclear (TWh, substituted energy)",7161.75341796875
52,2000,"Nuclear (TWh, substituted energy)",7323.33984375
53,2001,"Nuclear (TWh, substituted energy)",7481.20849609375
54,2002,"Nuclear (TWh, substituted energy)",7551.708984375
55,2003,"Nuclear (TWh, substituted energy)",7351.345703125
56,2004,"Nuclear (TWh, substituted energy)",7636.44970703125
57,2005,"Nuclear (TWh, substituted energy)",7608.0732421875
58,2006,"Nuclear (TWh, substituted energy)",7654.41943359375
59,2007,"Nuclear (TWh, substituted energy)",7451.5478515625
60,2008,"Nuclear (TWh, substituted energy)",7382.28466796875
61,2009,"Nuclear (TWh, substituted energy)",7232.9384765625
62,2010,"Nuclear (TWh, substituted energy)",7373.7333984375
63,2011,"Nuclear (TWh, substituted energy)",7022.1484375
64,2012,"Nuclear (TWh, substituted energy)",6500.9921875
65,2013,"Nuclear (TWh, substituted energy)",6513.49169921875
66,2014,"Nuclear (TWh, substituted energy)",6606.67822265625
67,2015,"Nuclear (TWh, substituted energy)",6655.75634765625
68,2016,"Nuclear (TWh, substituted energy)",6714.7958984375
69,2017,"Nuclear (TWh, substituted energy)",6734.873046875
70,2018,"Nuclear (TWh, substituted energy)",6856.0166015625
71,2019,"Nuclear (TWh, substituted energy)",7073.28955078125
72,2020,"Nuclear (TWh, substituted energy)",6789.3017578125
73,2021,"Nuclear (TWh, substituted energy)",7031.33935546875
0,1800,"Gas (TWh, substituted energy)",0.0
1,1810,"Gas (TWh, substituted energy)",0.0
2,1820,"Gas (TWh, substituted energy)",0.0
3,1830,"Gas (TWh, substituted energy)",0.0
4,1840,"Gas (TWh, substituted energy)",0.0
5,1850,"Gas (TWh, substituted energy)",0.0
6,1860,"Gas (TWh, substituted energy)",0.0
7,1870,"Gas (TWh, substituted energy)",0.0
8,1880,"Gas (TWh, substituted energy)",0.0
9,1890,"Gas (TWh, substituted energy)",33.0
10,1900,"Gas (TWh, substituted energy)",64.0
11,1910,"Gas (TWh, substituted energy)",142.0
12,1920,"Gas (TWh, substituted energy)",233.0
13,1930,"Gas (TWh, substituted energy)",603.0
14,1940,"Gas (TWh, substituted energy)",875.0
15,1950,"Gas (TWh, substituted energy)",2092.0
16,1960,"Gas (TWh, substituted energy)",4472.0
17,1965,"Gas (TWh, substituted energy)",6303.798828125
18,1966,"Gas (TWh, substituted energy)",6868.79443359375
19,1967,"Gas (TWh, substituted energy)",7374.03955078125
20,1968,"Gas (TWh, substituted energy)",8044.33154296875
21,1969,"Gas (TWh, substituted energy)",8833.41796875
22,1970,"Gas (TWh, substituted energy)",9614.7919921875
23,1971,"Gas (TWh, substituted energy)",10293.2001953125
24,1972,"Gas (TWh, substituted energy)",10861.7236328125
25,1973,"Gas (TWh, substituted energy)",11377.837890625
26,1974,"Gas (TWh, substituted energy)",11659.865234375
27,1975,"Gas (TWh, substituted energy)",11659.7412109375
28,1976,"Gas (TWh, substituted energy)",12354.1435546875
29,1977,"Gas (TWh, substituted energy)",12759.8427734375
30,1978,"Gas (TWh, substituted energy)",13293.9521484375
31,1979,"Gas (TWh, substituted energy)",14118.0322265625
32,1980,"Gas (TWh, substituted energy)",14236.9609375
33,1981,"Gas (TWh, substituted energy)",14395.8740234375
34,1982,"Gas (TWh, substituted energy)",14469.7353515625
35,1983,"Gas (TWh, substituted energy)",14703.8330078125
36,1984,"Gas (TWh, substituted energy)",15902.6806640625
37,1985,"Gas (TWh, substituted energy)",16262.2216796875
38,1986,"Gas (TWh, substituted energy)",16421.111328125
39,1987,"Gas (TWh, substituted energy)",17281.896484375
40,1988,"Gas (TWh, substituted energy)",18088.845703125
41,1989,"Gas (TWh, substituted energy)",18867.30859375
42,1990,"Gas (TWh, substituted energy)",19481.125
43,1991,"Gas (TWh, substituted energy)",19972.83984375
44,1992,"Gas (TWh, substituted energy)",20063.484375
45,1993,"Gas (TWh, substituted energy)",20265.484375
46,1994,"Gas (TWh, substituted energy)",20389.615234375
47,1995,"Gas (TWh, substituted energy)",21104.494140625
48,1996,"Gas (TWh, substituted energy)",22159.255859375
49,1997,"Gas (TWh, substituted energy)",22030.392578125
50,1998,"Gas (TWh, substituted energy)",22434.0
51,1999,"Gas (TWh, substituted energy)",23071.904296875
52,2000,"Gas (TWh, substituted energy)",23994.2578125
53,2001,"Gas (TWh, substituted energy)",24316.833984375
54,2002,"Gas (TWh, substituted energy)",25030.142578125
55,2003,"Gas (TWh, substituted energy)",25729.58984375
56,2004,"Gas (TWh, substituted energy)",26721.1015625
57,2005,"Gas (TWh, substituted energy)",27438.037109375
58,2006,"Gas (TWh, substituted energy)",28161.10546875
59,2007,"Gas (TWh, substituted energy)",29315.390625
60,2008,"Gas (TWh, substituted energy)",30021.318359375
61,2009,"Gas (TWh, substituted energy)",29401.19140625
62,2010,"Gas (TWh, substituted energy)",31588.86328125
63,2011,"Gas (TWh, substituted energy)",32340.1796875
64,2012,"Gas (TWh, substituted energy)",33194.03515625
65,2013,"Gas (TWh, substituted energy)",33729.72265625
66,2014,"Gas (TWh, substituted energy)",33944.2734375
67,2015,"Gas (TWh, substituted energy)",34768.67578125
68,2016,"Gas (TWh, substituted energy)",35560.7734375
69,2017,"Gas (TWh, substituted energy)",36529.22265625
70,2018,"Gas (TWh, substituted energy)",38356.30078125
71,2019,"Gas (TWh, substituted energy)",39062.9453125
72,2020,"Gas (TWh, substituted energy)",38455.7265625
73,2021,"Gas (TWh, substituted energy)",40374.60546875
0,1800,"Oil (TWh, substituted energy)",0.0
1,1810,"Oil (TWh, substituted energy)",0.0
2,1820,"Oil (TWh, substituted energy)",0.0
3,1830,"Oil (TWh, substituted energy)",0.0
4,1840,"Oil (TWh, substituted energy)",0.0
5,1850,"Oil (TWh, substituted energy)",0.0
6,1860,"Oil (TWh, substituted energy)",0.0
7,1870,"Oil (TWh, substituted energy)",6.0
8,1880,"Oil (TWh, substituted energy)",33.0
9,1890,"Oil (TWh, substituted energy)",89.0
10,1900,"Oil (TWh, substituted energy)",181.0
11,1910,"Oil (TWh, substituted energy)",397.0
12,1920,"Oil (TWh, substituted energy)",889.0
13,1930,"Oil (TWh, substituted energy)",1756.0
14,1940,"Oil (TWh, substituted energy)",2653.0
15,1950,"Oil (TWh, substituted energy)",5444.0
16,1960,"Oil (TWh, substituted energy)",11097.0
17,1965,"Oil (TWh, substituted energy)",17989.603515625
18,1966,"Oil (TWh, substituted energy)",19341.146484375
19,1967,"Oil (TWh, substituted energy)",20732.13671875
20,1968,"Oil (TWh, substituted energy)",22488.33203125
21,1969,"Oil (TWh, substituted energy)",24353.0
22,1970,"Oil (TWh, substituted energy)",26505.18359375
23,1971,"Oil (TWh, substituted energy)",27994.796875
24,1972,"Oil (TWh, substituted energy)",30112.263671875
25,1973,"Oil (TWh, substituted energy)",32534.806640625
26,1974,"Oil (TWh, substituted energy)",32078.1796875
27,1975,"Oil (TWh, substituted energy)",31715.76953125
28,1976,"Oil (TWh, substituted energy)",33752.46484375
29,1977,"Oil (TWh, substituted energy)",34928.13671875
30,1978,"Oil (TWh, substituted energy)",36509.91796875
31,1979,"Oil (TWh, substituted energy)",37064.56640625
32,1980,"Oil (TWh, substituted energy)",35514.421875
33,1981,"Oil (TWh, substituted energy)",34251.5703125
34,1982,"Oil (TWh, substituted energy)",33185.26953125
35,1983,"Oil (TWh, substituted energy)",32937.60546875
36,1984,"Oil (TWh, substituted energy)",33680.0546875
37,1985,"Oil (TWh, substituted energy)",33660.1015625
38,1986,"Oil (TWh, substituted energy)",34700.8359375
39,1987,"Oil (TWh, substituted energy)",35393.54296875
40,1988,"Oil (TWh, substituted energy)",36552.58984375
41,1989,"Oil (TWh, substituted energy)",37156.8359375
42,1990,"Oil (TWh, substituted energy)",37608.01953125
43,1991,"Oil (TWh, substituted energy)",37610.640625
44,1992,"Oil (TWh, substituted energy)",38151.84765625
45,1993,"Oil (TWh, substituted energy)",37960.61328125
46,1994,"Oil (TWh, substituted energy)",38793.5078125
47,1995,"Oil (TWh, substituted energy)",39442.17578125
48,1996,"Oil (TWh, substituted energy)",40314.296875
49,1997,"Oil (TWh, substituted energy)",41413.24609375
50,1998,"Oil (TWh, substituted energy)",41644.4140625
51,1999,"Oil (TWh, substituted energy)",42370.09375
52,2000,"Oil (TWh, substituted energy)",42880.92578125
53,2001,"Oil (TWh, substituted energy)",43255.68359375
54,2002,"Oil (TWh, substituted energy)",43608.86328125
55,2003,"Oil (TWh, substituted energy)",44580.6484375
56,2004,"Oil (TWh, substituted energy)",46270.65625
57,2005,"Oil (TWh, substituted energy)",46672.65625
58,2006,"Oil (TWh, substituted energy)",47172.609375
59,2007,"Oil (TWh, substituted energy)",47758.875
60,2008,"Oil (TWh, substituted energy)",47338.6875
61,2009,"Oil (TWh, substituted energy)",46371.56640625
62,2010,"Oil (TWh, substituted energy)",47895.07421875
63,2011,"Oil (TWh, substituted energy)",48307.65625
64,2012,"Oil (TWh, substituted energy)",49010.70703125
65,2013,"Oil (TWh, substituted energy)",49520.15625
66,2014,"Oil (TWh, substituted energy)",49832.44140625
67,2015,"Oil (TWh, substituted energy)",50796.26171875
68,2016,"Oil (TWh, substituted energy)",51760.77734375
69,2017,"Oil (TWh, substituted energy)",52515.54296875
70,2018,"Oil (TWh, substituted energy)",53250.62109375
71,2019,"Oil (TWh, substituted energy)",53368.62890625
72,2020,"Oil (TWh, substituted energy)",48380.7109375
73,2021,"Oil (TWh, substituted energy)",51170.47265625
0,1800,"Coal (TWh, substituted energy)",97.0
1,1810,"Coal (TWh, substituted energy)",128.0
2,1820,"Coal (TWh, substituted energy)",153.0
3,1830,"Coal (TWh, substituted energy)",264.0
4,1840,"Coal (TWh, substituted energy)",356.0
5,1850,"Coal (TWh, substituted energy)",569.0
6,1860,"Coal (TWh, substituted energy)",1061.0
7,1870,"Coal (TWh, substituted energy)",1642.0
8,1880,"Coal (TWh, substituted energy)",2542.0
9,1890,"Coal (TWh, substituted energy)",3856.0
10,1900,"Coal (TWh, substituted energy)",5728.0
11,1910,"Coal (TWh, substituted energy)",8656.0
12,1920,"Coal (TWh, substituted energy)",9833.0
13,1930,"Coal (TWh, substituted energy)",10125.0
14,1940,"Coal (TWh, substituted energy)",11586.0
15,1950,"Coal (TWh, substituted energy)",12603.0
16,1960,"Coal (TWh, substituted energy)",15442.0
17,1965,"Coal (TWh, substituted energy)",16140.1787109375
18,1966,"Coal (TWh, substituted energy)",16324.09375
19,1967,"Coal (TWh, substituted energy)",16060.8095703125
20,1968,"Coal (TWh, substituted energy)",16301.146484375
21,1969,"Coal (TWh, substituted energy)",16798.736328125
22,1970,"Coal (TWh, substituted energy)",17058.607421875
23,1971,"Coal (TWh, substituted energy)",16965.77734375
24,1972,"Coal (TWh, substituted energy)",17158.63671875
25,1973,"Coal (TWh, substituted energy)",17667.849609375
26,1974,"Coal (TWh, substituted energy)",17682.05078125
27,1975,"Coal (TWh, substituted energy)",18024.537109375
28,1976,"Coal (TWh, substituted energy)",18688.484375
29,1977,"Coal (TWh, substituted energy)",19241.30078125
30,1978,"Coal (TWh, substituted energy)",19457.904296875
31,1979,"Coal (TWh, substituted energy)",20363.5390625
32,1980,"Coal (TWh, substituted energy)",20857.609375
33,1981,"Coal (TWh, substituted energy)",21149.6796875
34,1982,"Coal (TWh, substituted energy)",21385.451171875
35,1983,"Coal (TWh, substituted energy)",22046.345703125
36,1984,"Coal (TWh, substituted energy)",23001.080078125
37,1985,"Coal (TWh, substituted energy)",23987.828125
38,1986,"Coal (TWh, substituted energy)",24258.033203125
39,1987,"Coal (TWh, substituted energy)",25212.42578125
40,1988,"Coal (TWh, substituted energy)",25967.12890625
41,1989,"Coal (TWh, substituted energy)",26215.67578125
42,1990,"Coal (TWh, substituted energy)",25904.46875
43,1991,"Coal (TWh, substituted energy)",25654.251953125
44,1992,"Coal (TWh, substituted energy)",25556.59375
45,1993,"Coal (TWh, substituted energy)",25685.59375
46,1994,"Coal (TWh, substituted energy)",25784.77734375
47,1995,"Coal (TWh, substituted energy)",25963.681640625
48,1996,"Coal (TWh, substituted energy)",26582.123046875
49,1997,"Coal (TWh, substituted energy)",26536.6875
50,1998,"Coal (TWh, substituted energy)",26366.365234375
51,1999,"Coal (TWh, substituted energy)",26479.49609375
52,2000,"Coal (TWh, substituted energy)",27427.5234375
53,2001,"Coal (TWh, substituted energy)",27860.15234375
54,2002,"Coal (TWh, substituted energy)",28955.103515625
55,2003,"Coal (TWh, substituted energy)",31499.232421875
56,2004,"Coal (TWh, substituted energy)",33673.01171875
57,2005,"Coal (TWh, substituted energy)",36169.05859375
58,2006,"Coal (TWh, substituted energy)",38069.03515625
59,2007,"Coal (TWh, substituted energy)",40228.41796875
60,2008,"Coal (TWh, substituted energy)",40773.58203125
61,2009,"Coal (TWh, substituted energy)",40175.359375
62,2010,"Coal (TWh, substituted energy)",41996.38671875
63,2011,"Coal (TWh, substituted energy)",44017.296875
64,2012,"Coal (TWh, substituted energy)",44184.375
65,2013,"Coal (TWh, substituted energy)",44842.6171875
66,2014,"Coal (TWh, substituted energy)",45161.20703125
67,2015,"Coal (TWh, substituted energy)",44054.44140625
68,2016,"Coal (TWh, substituted energy)",43504.1640625
69,2017,"Coal (TWh, substituted energy)",43751.67578125
70,2018,"Coal (TWh, substituted energy)",44315.875
71,2019,"Coal (TWh, substituted energy)",43699.88671875
72,2020,"Coal (TWh, substituted energy)",41963.96484375
73,2021,"Coal (TWh, substituted energy)",44473.1953125
0,1800,"Traditional biomass (TWh, substituted energy)",5556.0
1,1810,"Traditional biomass (TWh, substituted energy)",5833.0
2,1820,"Traditional biomass (TWh, substituted energy)",6111.0
3,1830,"Traditional biomass (TWh, substituted energy)",6389.0
4,1840,"Traditional biomass (TWh, substituted energy)",6944.0
5,1850,"Traditional biomass (TWh, substituted energy)",7222.0
6,1860,"Traditional biomass (TWh, substituted energy)",6944.0
7,1870,"Traditional biomass (TWh, substituted energy)",6944.0
8,1880,"Traditional biomass (TWh, substituted energy)",6944.0
9,1890,"Traditional biomass (TWh, substituted energy)",6667.0
10,1900,"Traditional biomass (TWh, substituted energy)",6111.0
11,1910,"Traditional biomass (TWh, substituted energy)",6389.0
12,1920,"Traditional biomass (TWh, substituted energy)",6944.0
13,1930,"Traditional biomass (TWh, substituted energy)",7222.0
14,1940,"Traditional biomass (TWh, substituted energy)",7222.0
15,1950,"Traditional biomass (TWh, substituted energy)",7500.0
16,1960,"Traditional biomass (TWh, substituted energy)",8889.0
17,1965,"Traditional biomass (TWh, substituted energy)",9162.0
18,1966,"Traditional biomass (TWh, substituted energy)",9218.0
19,1967,"Traditional biomass (TWh, substituted energy)",9274.0
20,1968,"Traditional biomass (TWh, substituted energy)",9331.0
21,1969,"Traditional biomass (TWh, substituted energy)",9387.0
22,1970,"Traditional biomass (TWh, substituted energy)",9444.0
23,1971,"Traditional biomass (TWh, substituted energy)",9499.0
24,1972,"Traditional biomass (TWh, substituted energy)",9553.0
25,1973,"Traditional biomass (TWh, substituted energy)",9608.0
26,1974,"Traditional biomass (TWh, substituted energy)",9663.0
27,1975,"Traditional biomass (TWh, substituted energy)",9718.0
28,1976,"Traditional biomass (TWh, substituted energy)",9774.0
29,1977,"Traditional biomass (TWh, substituted energy)",9830.0
30,1978,"Traditional biomass (TWh, substituted energy)",9886.0
31,1979,"Traditional biomass (TWh, substituted energy)",9943.0
32,1980,"Traditional biomass (TWh, substituted energy)",10000.0
33,1981,"Traditional biomass (TWh, substituted energy)",10106.0
34,1982,"Traditional biomass (TWh, substituted energy)",10213.0
35,1983,"Traditional biomass (TWh, substituted energy)",10321.0
36,1984,"Traditional biomass (TWh, substituted energy)",10430.0
37,1985,"Traditional biomass (TWh, substituted energy)",10541.0
38,1986,"Traditional biomass (TWh, substituted energy)",10653.0
39,1987,"Traditional biomass (TWh, substituted energy)",10765.0
40,1988,"Traditional biomass (TWh, substituted energy)",10879.0
41,1989,"Traditional biomass (TWh, substituted energy)",10995.0
42,1990,"Traditional biomass (TWh, substituted energy)",11111.0
43,1991,"Traditional biomass (TWh, substituted energy)",11243.0
44,1992,"Traditional biomass (TWh, substituted energy)",11376.0
45,1993,"Traditional biomass (TWh, substituted energy)",11511.0
46,1994,"Traditional biomass (TWh, substituted energy)",11647.0
47,1995,"Traditional biomass (TWh, substituted energy)",11785.0
48,1996,"Traditional biomass (TWh, substituted energy)",11925.0
49,1997,"Traditional biomass (TWh, substituted energy)",12066.0
50,1998,"Traditional biomass (TWh, substituted energy)",12209.0
51,1999,"Traditional biomass (TWh, substituted energy)",12414.0
52,2000,"Traditional biomass (TWh, substituted energy)",12500.0
53,2001,"Traditional biomass (TWh, substituted energy)",12500.0
54,2002,"Traditional biomass (TWh, substituted energy)",12470.0
55,2003,"Traditional biomass (TWh, substituted energy)",12329.0
56,2004,"Traditional biomass (TWh, substituted energy)",12160.0
57,2005,"Traditional biomass (TWh, substituted energy)",12076.0
58,2006,"Traditional biomass (TWh, substituted energy)",11993.0
59,2007,"Traditional biomass (TWh, substituted energy)",11911.0
60,2008,"Traditional biomass (TWh, substituted energy)",11829.0
61,2009,"Traditional biomass (TWh, substituted energy)",11747.0
62,2010,"Traditional biomass (TWh, substituted energy)",11667.0
63,2011,"Traditional biomass (TWh, substituted energy)",11553.0
64,2012,"Traditional biomass (TWh, substituted energy)",11441.0
65,2013,"Traditional biomass (TWh, substituted energy)",11330.0
66,2014,"Traditional biomass (TWh, substituted energy)",11220.0
67,2015,"Traditional biomass (TWh, substituted energy)",11111.0
68,2016,"Traditional biomass (TWh, substituted energy)",11111.0
69,2017,"Traditional biomass (TWh, substituted energy)",11111.0
70,2018,"Traditional biomass (TWh, substituted energy)",11111.0
71,2019,"Traditional biomass (TWh, substituted energy)",11111.0
72,2020,"Traditional biomass (TWh, substituted energy)",11111.0
73,2021,"Traditional biomass (TWh, substituted energy)",11111.0
