,Name of the initiative,Type,Jurisdiction covered,Year,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value,Value 1,Value 2
0,Alberta TIER,ETS,Alberta,2007,140.36,0.27,0.293518223,6.365888747,-0.050538374181678586,0.7482888868096143
2,Argentina carbon tax,Carbon tax,Argentina,2018,79.46122723,0.16,0.272050751,0.001622049,-0.2773233022542831,-0.6344601670579766
6,BC carbon tax,Carbon tax,British Columbia,2008,46.41,0.09,2.292998721,1.562100384,-0.3813495177761626,0.5739080202607355
12,California CaT,ETS,California,2012,309.468,0.60,3.9923,9.47715,0.44058589047669905,0.17576955097712765
13,Canada federal OBPS,ETS,Canada,2019,53.34974168,0.10,0.263746803,2.131943002,-0.27045389744560194,-0.7142471439159818
14,Canada federal fuel charge,Carbon tax,Canada,2019,167.6706167,0.33,4.797594309,3.421115729,0.017056966270810138,-0.715948598262609
17,Chile carbon tax,Carbon tax,Chile,2017,36.93137551,0.07,0.16,0.1655,-0.37577651331046846,-0.5059264469042876
19,Chongqing pilot ETS,ETS,Chongqing,2014,67.139766,0.13,0.040243442,0.566144556,-0.32077265036716235,-0.15201823697485925
21,Colombia carbon tax,Carbon tax,Colombia,2017,44.67561579,0.09,0.088923677,0.125855396,-0.3574824867791804,-0.5082033348462469
23,Denmark carbon tax,Carbon tax,Denmark,1992,17.20838193,0.03,0.467830983,0.542291292,-0.5938840542972015,2.4485827929141815
24,EU ETS,ETS,"EU, Norway, Iceland, Liechtenstein",2005,1626.615082,3.18,34.32611368,136.0190418,6.852289275539271,2.7007625744990835
25,Estonia carbon tax,Carbon tax,Estonia,2000,1.40975991,0.00,0.001889892,0.002775157,-0.5836085855811701,1.5007819604105193
26,Finland carbon tax,Carbon tax,Finland,1990,26.92882366,0.05,1.54728,1.43468775,-0.561671962995012,2.6960477795925457
27,France carbon tax,Carbon tax,France,2014,157.7754771,0.31,8.39952,9.06264,0.11933679824982982,-0.03837248684019266
28,Fujian pilot ETS,ETS,Fujian,2016,125.128704,0.24,0.000196578,0.365163238,-0.18820069282081742,-0.401303883495783
30,Germany ETS,ETS,Germany,2021,349.4383534,0.68,7.939572232,9.979956,0.6091252772256045,-0.8842019134506215
31,Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),2013,259.2336,0.51,0.0,5.817253255,0.23944027841154375,0.010645431802931149
33,Hubei pilot ETS,ETS,Hubei,2014,63.801135,0.12,0.013445933,1.95489715,-0.290247630516666,-0.12988849422736876
34,Iceland carbon tax,Carbon tax,Iceland,2010,2.723247608,0.01,0.048100872,0.051805729,-0.5010827935217691,0.3229424944479489
37,Ireland carbon tax,Carbon tax,Ireland,2010,27.04608349,0.05,0.541548,0.585756,-0.43743713039321874,0.3269961701809753
41,Japan carbon tax,Carbon tax,Japan,2012,952.6586723,1.86,1.800327332,2.146481178,1.6228580633522636,-0.056342033812726275
42,Kazakhstan ETS,ETS,Kazakhstan,2013,169.1768076,0.33,0.0,0.152180309,-0.11918030075123516,-0.05953445810693457
43,Korea ETS,ETS,"Korea, Republic of",2015,553.439848,1.08,0.243495498,11.04344594,1.0365785389372426,-0.19895768799895736
44,Latvia carbon tax,Carbon tax,Latvia,2004,0.376643586,0.00,0.00668646,0.018312464,-0.5546103349341122,1.0299179453131735
45,Liechtenstein carbon tax,Carbon tax,Liechtenstein,2008,0.14610362,0.00,0.006914836,0.002175089,-0.5256496529902894,0.5584927580500754
46,Luxembourg carbon tax,Carbon tax,Luxembourg,2021,6.801985106,0.01,0.24104412,0.294838465,-0.40814143266888503,-0.9694956643226055
50,Massachusetts ETS,ETS,RGGI,2018,6.072,0.01,0.0443,0.004,-0.4394891509990392,-0.6204994225977242
51,Mexico carbon tax,Carbon tax,Mexico,2014,352.6073585,0.69,0.314465409,0.314092485,0.2901049204285548,-0.20893925253788823
55,Netherlands carbon tax,Carbon tax,Netherlands,2021,25.96280946,0.05,0.0,1.197978551,-0.3395285826350468,-0.9592894207307076
57,New Brunswick carbon tax,Carbon tax,New Brunswick,2020,5.499,0.01,0.098905051,0.077325767,-0.4231787353771044,-0.8549185784228753
58,New Zealand ETS,ETS,New Zealand,2008,41.61230129,0.08,1.647912,1.8154728,-0.3848264222948407,0.5787218893908931
61,Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,2019,5.0149,0.01,0.078516624,0.073116109,-0.431239595172157,-0.7371388233212327
63,Northwest Territories carbon tax,Carbon tax,Northwest Territories,2019,1.3351,0.00,0.025895141,0.02089019,-0.4422364883901221,-0.7371255842550947
64,Norway carbon tax,Carbon tax,Norway,1991,44.73403107,0.09,1.715886995,1.714514469,-0.5049073536907712,2.5789995023253534
65,Nova Scotia CaT,ETS,Nova Scotia,2019,14.025,0.03,0.035805627,0.315978261,-0.403509840867466,-0.7351907627983669
71,Poland carbon tax,Carbon tax,Poland,1990,15.93618198,0.03,0.001145838,0.001110362,-0.6255494909981797,2.6759818145668017
72,Portugal carbon tax,Carbon tax,Portugal,2015,25.03861083,0.05,0.33111792,0.525885138,-0.4042274470392359,-0.2627362727201325
73,Prince Edward Island carbon tax,Carbon tax,Prince Edward Island,2019,0.9688,0.00,0.024456522,0.013773078,-0.4428354688361366,-0.737201052505445
74,Quebec CaT,ETS,Quebec,2013,60.918,0.12,0.899696292,1.665057545,-0.3090576045294162,-0.016276748235375865
75,RGGI,ETS,RGGI,2009,67.342,0.13,0.926,1.22232,-0.33890252335550963,0.4470466979317846
76,Saitama ETS,ETS,Saitama,2011,8.16,0.02,0.0,0.127804419,-0.4800912455754786,0.2053323099904052
78,Saskatchewan OBPS,ETS,Saskatchewan,2019,10.231,0.02,0.0,0.408847506,-0.4104862897228646,-0.7329368088600084
81,Shanghai pilot ETS,ETS,Shanghai,2013,78.482705,0.15,0.003395295,1.4657514,-0.2791841688708243,-0.022392310640183488
83,Shenzhen pilot ETS,ETS,Shenzhen,2013,13.1718,0.03,0.0,0.020179279,-0.45738529748883683,-0.03286047677559346
84,Singapore carbon tax,Carbon tax,Singapore,2019,56.41688507,0.11,0.152977296,0.141006929,-0.3184701507950222,-0.7456074127536378
85,Slovenia carbon tax,Carbon tax,Slovenia,1996,10.64899126,0.02,0.145187339,0.081728039,-0.5899830416500661,1.971387989278658
86,South Africa carbon tax,Carbon tax,South Africa,2019,459.1671443,0.90,0.093928681,0.119524906,0.5528850076813707,-0.820775088083316
87,Spain carbon tax,Carbon tax,Spain,2014,6.231775,0.01,0.077364,0.121572,-0.4656293794662306,-0.14750861333098206
88,Sweden carbon tax,Carbon tax,Sweden,1991,25.83529432,0.05,2.267025456,2.4347209,-0.5268754206853348,2.593720115218733
89,Switzerland ETS,ETS,Switzerland,2008,5.059056761,0.01,0.01753057,0.28901093,-0.506620265714747,0.5619713134376865
90,Switzerland carbon tax,Carbon tax,Switzerland,2008,15.74989369,0.03,1.261768207,1.268261011,-0.45604405417465615,0.5750821360442193
95,Tianjin pilot ETS,ETS,Tianjin,2013,53.056773,0.10,0.011898471,0.72655218,-0.35541329525941623,-0.02902336739424088
96,Tokyo CaT,ETS,Tokyo,2010,13.26,0.03,0.0,0.053469722,-0.4785922195923265,0.3210419125350717
98,UK Carbon Price Support,Carbon tax,United Kingdom,2013,97.38434524,0.19,0.6899025,0.904572539,-0.2526712486365646,-0.0346689100254395
99,UK ETS,ETS,United Kingdom,2021,129.8457937,0.25,5.663799247,12.56197732,0.2078460394080712,-0.803746807012418
101,Ukraine carbon tax,Carbon tax,Ukraine,2011,197.4845544,0.39,0.040454761,0.042386062,-0.07338986218062377,0.16890460827421658
